Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID
Corey Davis,TEN,JAX,WR,5700,15,0.7,11,15905181
Duke Johnson,HOU,CHI,RB,4800,13.1,0.6,7,15904949
Michael Thomas,NO,PHI,WR,7100,17.7,0.6,11,15905153
Giovani Bernard,CIN,DAL,RB,5000,13.4,0.5,7,15904939
Philip Rivers,IND,LV,QB,5900,18.8,0.5,3,15904812
Brandon Aiyuk,SF,WAS,WR,5400,14.2,0.5,11,15905187
Cardinals ,ARI,NYG,DST,2700,6.9,0.5,3,15905744
Mitchell Trubisky,CHI,HOU,QB,5600,17.8,0.4,3,15904817
Justin Jefferson,MIN,TB,WR,7400,18.1,0.4,11,15905147
Terry McLaurin,WAS,SF,WR,6700,16.6,0.4,7,15905159
Texans ,HOU,CHI,DST,2600,6.6,0.4,3,15905747
Mike Glennon,JAX,TEN,QB,5100,16.2,0.3,1,15904831
DJ Chark Jr.,JAX,TEN,WR,5300,13.8,0.3,7,15905191
Eagles ,PHI,NO,DST,2200,5.7,0.3,3,15905755
Tua Tagovailoa,MIA,KC,QB,5400,17,0.2,1,15904820
Kenyan Drake,ARI,NYG,RB,5500,14,0.1,3,15904921
Teddy Bridgewater,CAR,DEN,QB,5800,18,0.1,3,15904813
Tee Higgins,CIN,DAL,WR,4800,12.6,0.1,3,15905213
Robert Tonyan,GB,DET,TE,4200,11.4,0.1,11,15905517
Jonathan Taylor,IND,LV,RB,5800,15.6,0.1,7,15904915
Derek Carr,LV,IND,QB,6000,18.6,0,3,15904811
DeVante Parker,MIA,KC,WR,6100,15.1,0,3,15905173
#N/A,SF,WAS,#N/A,,0.8,,,
Ronald Jones II,TB,MIN,RB,6100,15.1,0,7,15904907
Logan Thomas,WAS,SF,TE,3300,9.5,0,11,15905539
WAS Football Team ,WAS,SF,DST,2800,6.5,0,7,15905742
Matt Ryan,ATL,LAC,QB,5700,17.6,-0.1,3,15904815
Tyler Boyd,CIN,DAL,WR,4900,12.6,-0.1,3,15905207
DK Metcalf,SEA,NYJ,WR,8400,19.6,-0.1,11,15905139
Titans ,TEN,JAX,DST,3100,7.1,-0.1,3,15905737
Antonio Brown,TB,MIN,WR,5500,13.7,-0.2,7,15905185
